binning,arm,fragment_size_bin,n,min,q25,median,mean,q75,max
paper,Pocket2Mol,3–4,3486,0.0082,0.0426,0.0611,0.0658,0.0861,0.3144
paper,Pocket2Mol,5–6,2240,0.0203,0.0764,0.0992,0.1128,0.1353,0.4341
paper,Pocket2Mol,7–9,2836,0.0369,0.0821,0.1076,0.1389,0.159,1.075
paper,Pocket2Mol,10–13,2436,0.0504,0.1232,0.161,0.1908,0.2336,0.9874
paper,Pocket2Mol,14+,2915,0.0764,0.2228,0.3288,0.3922,0.5,1.9245
paper,DiffSBDD,2,11927,0.0,0.0113,0.025,0.0396,0.0504,0.5258
paper,DiffSBDD,3–4,7069,0.003,0.0475,0.0751,0.0967,0.1222,0.9003
paper,DiffSBDD,5–6,3620,0.0172,0.0776,0.1456,0.1743,0.2406,0.8749
paper,DiffSBDD,7–9,4028,0.0248,0.1274,0.239,0.2646,0.3551,1.1134
paper,DiffSBDD,10–13,2015,0.0395,0.2268,0.3631,0.3938,0.5258,1.3588
paper,DiffSBDD,14+,1011,0.0702,0.4523,0.6544,0.6911,0.8747,2.1085
paper,DecompDiff,2,8618,0.0,0.0072,0.0157,0.0228,0.0295,2.6894
paper,DecompDiff,3–4,5671,0.0038,0.0333,0.0452,0.0563,0.0679,0.6989
paper,DecompDiff,5–6,3145,0.0092,0.0317,0.058,0.1059,0.1678,0.8716
paper,DecompDiff,7–9,3334,0.0166,0.064,0.1949,0.2199,0.3311,0.9089
paper,DecompDiff,10–13,1996,0.0254,0.1483,0.3236,0.3341,0.4691,1.332
paper,DecompDiff,14+,849,0.0556,0.4141,0.5806,0.6238,0.7848,1.9829
paper,FuncBind,2,8113,0.0,0.0188,0.0381,0.0487,0.065,0.6967
paper,FuncBind,3–4,4608,0.003,0.0518,0.0743,0.0856,0.1019,0.813
paper,FuncBind,5–6,3560,0.0268,0.1007,0.1334,0.1485,0.1903,0.6907
paper,FuncBind,7–9,4195,0.0455,0.1272,0.1848,0.2214,0.2734,0.9815
paper,FuncBind,10–13,1687,0.0811,0.1763,0.2406,0.2767,0.3463,1.0198
paper,FuncBind,14+,843,0.0815,0.2751,0.3738,0.4313,0.5264,2.738
paper,TargetDiff,2,9575,0.0,0.0099,0.0208,0.027,0.0384,0.2301
paper,TargetDiff,3–4,5169,0.0031,0.0375,0.0498,0.0651,0.0734,0.5279
paper,TargetDiff,5–6,2930,0.0098,0.0442,0.1095,0.1349,0.1923,0.7271
paper,TargetDiff,7–9,3310,0.0186,0.0904,0.184,0.2245,0.3207,1.1686
paper,TargetDiff,10–13,1870,0.0416,0.217,0.3335,0.3665,0.4816,1.5218
paper,TargetDiff,14+,2063,0.0879,0.4635,0.6452,0.6921,0.8641,3.6163
paper,VoxBind,2,10952,0.0,0.0061,0.0138,0.0239,0.029,0.6904
paper,VoxBind,3–4,4618,0.0024,0.0335,0.047,0.0602,0.0733,0.6967
paper,VoxBind,5–6,7503,0.0078,0.022,0.0329,0.0682,0.0853,0.6432
paper,VoxBind,7–9,4441,0.0103,0.045,0.0782,0.1161,0.1339,0.9304
paper,VoxBind,10–13,2466,0.0188,0.066,0.1085,0.1492,0.2052,0.9132
paper,VoxBind,14+,1114,0.0396,0.1772,0.3349,0.4612,0.6631,2.532
paper,CoDE,2,9705,0.0,0.0073,0.0166,0.0283,0.0353,0.7027
paper,CoDE,3–4,4282,0.0028,0.0339,0.0482,0.0615,0.0782,0.6114
paper,CoDE,5–6,7470,0.0071,0.0265,0.0404,0.0759,0.0998,0.6544
paper,CoDE,7–9,4488,0.0153,0.0515,0.0844,0.122,0.1441,0.8427
paper,CoDE,10–13,2907,0.0176,0.0792,0.1243,0.163,0.2208,1.0043
paper,CoDE,14+,1566,0.0519,0.1747,0.2915,0.37,0.4605,2.861
paper,Reference ligand,2,90,0.0,0.0028,0.0058,0.0107,0.0121,0.13
paper,Reference ligand,3–4,74,0.007,0.0326,0.0491,0.0562,0.0742,0.1542
paper,Reference ligand,5–6,42,0.0059,0.0146,0.0324,0.0526,0.0586,0.2384
paper,Reference ligand,7–9,46,0.0212,0.0412,0.0576,0.1085,0.0934,0.642
paper,Reference ligand,10–13,28,0.0325,0.0517,0.0609,0.0907,0.1046,0.4555
paper,Reference ligand,14+,14,0.1062,0.1611,0.2837,0.3447,0.4202,1.1068
