method,n_pockets,n_mols,ecfp4_mean,ecfp4_median,scaffold_match
AR,100,9729,0.10118413972524605,0.09690781822346174,0.011669756519589668
Pocket2Mol,100,9872,0.09800904560461315,0.09275985971057234,0.012528735632183909
DiffSBDD,100,9777,0.09038060536039334,0.08630799423809563,0.005303789295353702
DecompDiff,100,8207,0.1539642635625382,0.13936394654023468,0.025745006995357513
