rank,target,reference,n_ar,ar_mean,n_pocket2mol,pocket2mol_mean,n_diffsbdd,diffsbdd_mean,n_decompdiff,decompdiff_mean,n_funcbind,funcbind_mean,n_voxbind,voxbind_mean,n_code,code_mean
56,target_29,-5.916,100,-5.785,100,-5.614,100,-5.972,96,-5.718,100,-5.165,100,-6.645,100,-6.915
57,target_77,-4.342,100,-4.665,100,-4.444,100,-5.980,97,-4.490,100,-4.160,99,-8.065,100,-6.841
58,target_28,-5.005,93,-5.631,100,-5.505,98,-4.662,89,-5.532,100,-5.310,100,-6.184,100,-6.841
59,target_63,-6.754,100,-6.663,100,-2.222,100,-4.551,72,-7.233,100,-6.616,100,-5.152,100,-6.822
60,target_69,-5.436,100,-4.908,100,-5.385,99,-5.939,100,-5.559,100,-4.656,100,-6.852,100,-6.633
61,target_40,-5.871,100,-6.795,100,-5.928,99,-7.052,100,-6.054,100,-6.152,100,-7.232,100,-6.623
62,target_78,-5.160,100,-4.025,100,-4.737,97,-4.183,80,-5.835,100,-5.670,100,-5.276,100,-6.601
63,target_62,-6.658,100,-6.268,100,-6.558,96,-6.688,96,-6.529,100,-6.629,100,-6.769,100,-6.573
64,target_91,-5.737,100,-4.899,100,-6.364,96,-6.118,94,-5.780,100,-5.598,99,-6.203,99,-6.513
65,target_30,-7.148,100,-4.716,100,-4.548,100,-5.548,80,-6.508,100,-5.587,100,-6.391,100,-6.505
66,target_15,-4.676,100,-5.181,100,-5.563,97,-5.797,98,-5.364,100,-7.018,100,-7.212,100,-6.348
67,target_18,-6.792,100,-4.624,100,-6.601,95,-5.713,82,-6.244,100,-6.799,100,-6.809,100,-6.236
68,target_99,-5.972,100,-5.700,100,-5.797,94,-7.092,90,-6.369,100,-5.940,100,-6.114,100,-5.777
69,target_58,-4.553,100,-5.698,100,-5.221,96,-3.116,90,-5.178,100,-5.994,100,-5.654,100,-5.765
70,target_64,-6.735,100,-6.502,100,-6.055,99,-6.509,94,-5.961,100,-6.527,100,-5.806,100,-5.761
71,target_71,-5.291,100,-3.629,100,-4.423,98,-2.912,92,-5.318,100,-4.148,100,-4.656,99,-5.745
72,target_38,-4.834,100,-5.878,100,-2.588,98,-3.860,95,-4.764,100,-3.740,100,-4.487,100,-5.245
73,target_66,-4.460,100,-5.510,100,-5.115,100,-5.876,100,-4.386,100,-4.407,100,-4.794,100,-5.196
74,target_50,-5.143,100,-5.480,100,-4.923,98,-4.826,94,-5.013,100,-5.097,100,-5.174,100,-5.118
75,target_43,-4.841,100,-4.222,100,-4.744,95,-5.446,98,-5.188,100,-4.566,100,-5.744,100,-5.067
76,target_14,-3.993,100,-3.893,100,-4.446,97,-4.349,94,-4.457,100,-5.382,100,-5.107,100,-4.623
77,target_89,-4.591,100,-4.241,100,-4.640,96,-5.702,99,-4.134,100,-4.610,100,-4.927,100,-3.772
78,target_90,-2.751,100,-4.207,100,-3.345,99,-5.047,97,-3.150,100,-3.647,100,-4.249,100,-3.724
79,target_96,-3.456,100,-2.873,100,-2.897,98,-2.216,99,-2.234,100,-3.094,99,-2.989,100,-3.428
