,Ours · C+D+G,Ours · coords,ProFSA,GET,AEV-PLIG,DSMBind
Ours · C+D+G,,0.9362532810800533,0.36159433087150356,0.42465323613739825,0.3864764902263159,0.56699888828042
Ours · coords,0.6725918102776793,,0.38612611937480906,0.4578224995341713,0.4738782019305817,0.6082070073229996
ProFSA,0.5190218135797748,0.7282118560997158,,0.5595846854818912,0.5714437002779545,0.5832461092194796
GET,0.40556927578616536,0.6480799630977933,0.37685909123217926,,0.44408465902803984,0.5914196517442212
AEV-PLIG,0.29242503036001216,0.5261168905587796,0.36102723827047034,0.5308631280189343,,0.5347355624921777
DSMBind,0.1700702347589586,0.3581491357881411,0.19820729311425256,0.2609186924767607,0.2618240639776264,
