,Ours · C+D+G,Ours · coords,ProFSA,GET,AEV-PLIG,DSMBind
Ours · C+D+G,1.0,0.43103474246781326,0.26623245388531325,0.2209455754721001,0.17271167811208962,0.06012916582354049
Ours · coords,0.43103474246781326,1.0,0.3221979003523451,0.2635336721395857,0.21516801916851516,0.07160293363979259
ProFSA,0.26623245388531325,0.3221979003523451,1.0,0.3938338885085317,0.3550226255372983,0.09420679242937756
GET,0.2209455754721001,0.2635336721395857,0.3938338885085317,1.0,0.277845530164891,0.08042549657909202
AEV-PLIG,0.17271167811208962,0.21516801916851516,0.3550226255372983,0.277845530164891,1.0,0.08357209921635679
DSMBind,0.06012916582354049,0.07160293363979259,0.09420679242937756,0.08042549657909202,0.08357209921635679,1.0
