,Ours · C+D+G,Ours · coords,ProFSA,GET,AEV-PLIG,DSMBind
Ours · C+D+G,1.0,0.4795985249939205,0.31886013937707963,0.28401282999882493,0.22926128921104777,0.0534617614595465
Ours · coords,0.4795985249939205,1.0,0.36406033330313325,0.33449946013547527,0.28430669275461734,0.06750746473709546
ProFSA,0.31886013937707963,0.36406033330313325,1.0,0.4097488686907023,0.40420577175521666,0.0950306797754396
GET,0.28401282999882493,0.33449946013547527,0.4097488686907023,1.0,0.3781404646765349,0.09095796181437606
AEV-PLIG,0.22926128921104777,0.28430669275461734,0.40420577175521666,0.3781404646765349,1.0,0.1255059138575416
DSMBind,0.0534617614595465,0.06750746473709546,0.0950306797754396,0.09095796181437606,0.1255059138575416,1.0
