,Ours · C+D+G,Ours · coords,ProFSA,GET,AEV-PLIG,DSMBind
Ours · C+D+G,1.0,0.6623098932340707,0.23876812057646163,0.1296353414579346,0.11079749708785001,0.06900507829841165
Ours · coords,0.6623098932340707,1.0,0.35434485834422585,0.21256860619378526,0.16277758544917725,0.07628459968747925
ProFSA,0.23876812057646163,0.35434485834422585,1.0,0.39466076128762095,0.3921158324976213,0.21174600950086264
GET,0.1296353414579346,0.21256860619378526,0.39466076128762095,1.0,0.226807255348983,0.10691213155473346
AEV-PLIG,0.11079749708785001,0.16277758544917725,0.3921158324976213,0.226807255348983,1.0,0.060685965665200035
DSMBind,0.06900507829841165,0.07628459968747925,0.21174600950086264,0.10691213155473346,0.060685965665200035,1.0
