set,n_mols,n_disconnected_dropped,bond_mean_jsd,pair_all_12A_jsd,pair_cc_2A_jsd,atom_type_jsd,bond_mean_jsd_pose_weighted,pair_all_12A_jsd_pose_weighted,pair_cc_2A_jsd_pose_weighted,atom_type_jsd_pose_weighted,bond_mean_jsd_test,pair_all_12A_jsd_test,pair_cc_2A_jsd_test,atom_type_jsd_test
AR,7655,0,0.4539,0.1324,0.4159,0.0944,0.4548,0.1186,0.4085,0.0942,0.5429,0.1251,0.4292,0.1062
Pocket2Mol,7772,0,0.3761,0.1135,0.3593,0.0778,0.3796,0.1032,0.3559,0.0845,0.4954,0.1184,0.3849,0.1152
DiffSBDD,7720,0,0.3201,0.0937,0.3318,0.0415,0.3247,0.0879,0.3316,0.0454,0.4485,0.0841,0.3255,0.0816
DecompDiff,6427,0,0.2326,0.0536,0.1971,0.0499,0.23,0.0448,0.1931,0.0412,0.3724,0.0443,0.2071,0.0433
FuncBind,7895,0,0.4498,0.1007,0.4376,0.0822,0.4538,0.0983,0.4369,0.0831,0.5479,0.0945,0.4365,0.0826
TargetDiff,7287,511,0.2368,0.0605,0.2124,0.0506,0.2365,0.0495,0.2077,0.0576,0.3944,0.0525,0.2245,0.0872
VoxBind,7888,0,0.1953,0.0334,0.1275,0.063,0.1975,0.0414,0.1177,0.0771,0.3476,0.0595,0.2066,0.1114
CoDE,7873,0,0.2223,0.0485,0.186,0.0622,0.2215,0.0556,0.1755,0.0757,0.3721,0.0742,0.2661,0.1195
