method,n_pockets,n_mols,ecfp4_mean,ecfp4_median,scaffold_match,novelty,scaffold_novelty,snn,source
AR,79,7655,0.10022541399517367,0.09609673728789915,0.01037714652543733,0.9913338687423705,0.7936909800318345,0.29679833865953026,this machine
Pocket2Mol,79,7772,0.09663194327795675,0.09170271402120818,0.011194029850746268,0.9652180028129396,0.6982077096281816,0.3487819559731714,this machine
DiffSBDD,79,7720,0.08889319102851091,0.08498586079517141,0.005514742347522868,0.9855680865791304,0.7963786518486315,0.28602428597781543,this machine
DecompDiff,79,6427,0.15244411232231697,0.13662262032943998,0.02173495961566294,0.968861992954613,0.7626237204499717,0.33390737287819516,this machine
TargetDiff,79,7798,0.09107473439404828,0.08695749278437546,0.006163123775064073,0.9800907812300217,0.8227306243746918,0.28034969318946723,this machine
FuncBind,79,7886,0.11803051201520423,0.1098116591648601,0.012985074626865671,0.9379746835443038,0.7067281281371356,0.339255753000032,this machine
VoxBind σ=0.9,79,7888,0.09938769296138857,0.09172347274221136,0.00955223880597015,0.9716353407492648,0.8057062722506618,0.3495595533861904,this machine
VoxBind σ=1.0,79,7870,0.103429445409197,0.09854169636934688,0.011830396563872043,0.9856501465181393,0.7821020547767663,0.31390011387271016,this machine
Ours v1,79,7873,0.09937940789449806,0.09388533145367628,0.008059701492537314,0.9884669479606188,0.8483296320681788,0.30050614451778823,this machine
