key,label,n_pockets,n_strain,strain_mean,strain_median,strain_q25,strain_q75,n_clashes,clashes_mean,clashes_median,clashes_q25,clashes_q75,clashes_mean_ci95_low,clashes_mean_ci95_high
reference,Reference ligand,47,47,87.67806055348026,47.162639110166296,13.345741905641473,78.12266331383358,47,6.851063829787234,5.0,2.5,9.5,5.25531914893617,8.574468085106384
targetdiff,TargetDiff,47,4293,106790.71422223588,390.2823631337245,130.3700260073774,1547.2126584547314,4329,11.687687687687689,8.0,5.0,15.0,9.673778521677665,13.984856790779562
vanilla_sig0.9,VoxBind σ=0.9 (vanilla),47,4668,175664795.73797852,66.71741072963502,27.396269268637706,208.3556175981074,4693,5.68122735989772,4.0,2.0,8.0,4.942616267896281,6.497552217895893
receptor_ed_fusion,Ours — receptor-ED fusion (partial),47,4685,17418148049.98133,197.738458688737,87.85962317020666,563.4460128201109,4697,7.381094315520545,6.0,3.0,10.0,6.242682961963046,8.726357827476038
