key,label,n_pockets,n_strain,strain_mean,strain_median,strain_q25,strain_q75,n_clashes,clashes_mean,clashes_median,clashes_q25,clashes_q75,clashes_mean_ci95_low,clashes_mean_ci95_high
reference,Reference ligand,78,78,67.85889676422715,33.85558418629036,10.688426194913976,68.3102504612086,78,6.82051282051282,5.0,3.0,8.75,5.563782051282051,8.192307692307692
targetdiff,TargetDiff,78,7144,46849433.45783559,361.44362825964777,115.45749949106951,1320.3358983298901,7199,10.394221419641617,8.0,4.0,13.0,9.069978878764136,11.860084607780426
vanilla,VoxBind σ=0.9,78,7756,228682834.5850855,63.24225356044548,23.235569678845188,200.9068750985931,7788,5.253852080123266,4.0,2.0,7.0,4.746457622153948,5.80988809436712
ours,Ours,78,7727,4296453933.860059,82.34186356019342,30.954037820937327,281.1118200233449,7774,6.487779778749679,5.0,3.0,9.0,5.8106380241831745,7.218892954979267
ours_v2,Ours · v2,78,7771,10808044534.025648,202.86513202510466,83.25728727558169,591.8053291699395,7796,7.255515649050795,6.0,3.0,10.0,6.474530184972671,8.138358965447015
