,Ours · C+D+G,Ours · coords,ProFSA,IPNet,BindNet
Ours · C+D+G,1.0,0.5751022981622999,0.2010664971022889,0.0729876566890722,0.1855908057668839
Ours · coords,0.5751022981622999,1.0,0.3543448583442258,0.1325195113759005,0.3035700522379503
ProFSA,0.2010664971022889,0.3543448583442258,1.0,0.2095609126425181,0.4638626735929579
IPNet,0.0729876566890722,0.1325195113759005,0.2095609126425181,1.0,0.1147457806457376
BindNet,0.1855908057668839,0.3035700522379503,0.4638626735929579,0.1147457806457376,1.0
