,Ours · C+D+G,Ours · coords,ProFSA,GET,AEV-PLIG,DSMBind
Ours · C+D+G,1.0,0.34938421878746156,0.2415139184070057,0.19541176306558738,0.14856304360399242,0.05525875702810441
Ours · coords,0.34938421878746156,1.0,0.3221979003523451,0.2635336721395857,0.21516801916851516,0.07160293363979259
ProFSA,0.2415139184070057,0.3221979003523451,1.0,0.3938338885085317,0.3550226255372983,0.09420679242937756
GET,0.19541176306558738,0.2635336721395857,0.3938338885085317,1.0,0.277845530164891,0.08042549657909202
AEV-PLIG,0.14856304360399242,0.21516801916851516,0.3550226255372983,0.277845530164891,1.0,0.08357209921635679
DSMBind,0.05525875702810441,0.07160293363979259,0.09420679242937756,0.08042549657909202,0.08357209921635679,1.0
