,Ours · C+D+G,Ours · coords,ProFSA,IPNet,BindNet
Ours · C+D+G,1.0,0.371454614902421,0.2744201051522141,0.1724925059043146,0.2517722154927256
Ours · coords,0.371454614902421,1.0,0.3640603333031332,0.2542961001212445,0.344998640162066
ProFSA,0.2744201051522141,0.3640603333031332,1.0,0.2920086831026979,0.4461011974635739
IPNet,0.1724925059043146,0.2542961001212445,0.2920086831026979,1.0,0.2814262140755946
BindNet,0.2517722154927256,0.344998640162066,0.4461011974635739,0.2814262140755946,1.0
