,Ours · C+D+G,Ours · coords,ProFSA,IPNet,BindNet
Ours · C+D+G,,0.9365722125179146,0.3476200940649715,0.555882911055524,0.4726227487730824
Ours · coords,0.6034148054442184,,0.386126119374809,0.6242582712852516,0.5070043211487126
ProFSA,0.4805780283818865,0.7282118560997158,,0.6553258800011803,0.5371599237539022
IPNet,0.2991089184228604,0.5938265200623349,0.3308006811874274,,0.4164636156176972
BindNet,0.5197234704405754,0.7666766716440396,0.4424451108637265,0.7164090828584854,
