key,label,n_pockets,n_strain,strain_mean,strain_median,strain_q25,strain_q75,n_clashes,clashes_mean,clashes_median,clashes_q25,clashes_q75,clashes_mean_ci95_low,clashes_mean_ci95_high
reference,Reference ligand,30,30,35.22009258208104,13.103919306638097,7.4587725575623525,50.20058433642002,30,6.633333333333334,5.0,3.0,8.75,4.6,8.933333333333334
vanilla_sig0.9,Vanilla σ=0.9,30,2987,465987061.85436255,31.044275516647264,10.803709637387573,82.48450935757711,2998,5.104402935290193,4.0,2.0,7.0,4.355223104469825,5.930653769179452
holo_ed_fusion_sig0.9_best,Holo ED fusion σ=0.9 (best),30,2979,4885953939.96286,36.493499141677496,11.548770547088147,110.51053178497699,2993,5.767791513531574,5.0,2.0,8.0,4.884426219629369,6.69053629075528
