tag,seed,subset,best_val_spearman,pearson,spearman,rmse,mae,n
matched_no_cl1,0,val,0.5775,0.575527012348175,0.5775419822661297,1.5260719060897827,1.1974000930786133,478
matched_no_cl1,0,full,0.5775,0.4599214196205139,0.4497869365524431,1.6540437936782837,1.320054292678833,835
matched_no_cl1,0,cl1,0.5775,0.4565262794494629,0.4467657818145115,1.6460269689559937,1.311427354812622,785
matched_no_cl1,1,val,0.5051,0.48788437247276306,0.5050690692885833,1.6280314922332764,1.2409400939941406,478
matched_no_cl1,1,full,0.5051,0.4768739342689514,0.46189212624966963,1.6204346418380737,1.3053935766220093,835
matched_no_cl1,1,cl1,0.5051,0.4725295901298523,0.45493451106971483,1.6155993938446045,1.2985295057296753,785
matched_no_cl1,2,val,0.5104,0.4920063018798828,0.5103870506384149,1.694078803062439,1.3607522249221802,478
matched_no_cl1,2,full,0.5104,0.5619717240333557,0.5468062762638324,1.5583373308181763,1.282918930053711,835
matched_no_cl1,2,cl1,0.5104,0.553730845451355,0.5387794786559025,1.5508307218551636,1.276179552078247,785
