tag,seed,subset,best_val_pearson,pearson,spearman,rmse,mae,n
full_newsplit,0,full,0.5093,0.41126808524131775,0.37899012813644983,1.8118188381195068,1.465314507484436,1433
full_newsplit,0,cl1,0.5093,0.40278661251068115,0.3687504971559942,1.8080754280090332,1.464738130569458,1341
full_newsplit,1,full,0.4835,0.44757649302482605,0.42061145305971326,1.6839725971221924,1.366578459739685,1433
full_newsplit,1,cl1,0.4835,0.445702463388443,0.41509915343174864,1.6730897426605225,1.3609286546707153,1341
full_newsplit,2,full,0.4781,0.4512266218662262,0.42930469912541297,1.7090271711349487,1.373864769935608,1433
full_newsplit,2,cl1,0.4781,0.4420240521430969,0.41902826901237794,1.708918571472168,1.3767427206039429,1341
