tag,seed,subset,best_val_spearman,pearson,spearman,rmse,mae,n
matched839,0,val,0.5578,0.5501449704170227,0.5577874552374714,1.5802301168441772,1.225687026977539,478
matched839,0,full,0.5578,0.48319533467292786,0.47644988861245247,1.6332885026931763,1.3144522905349731,835
matched839,0,cl1,0.5578,0.477983295917511,0.4690064083135462,1.6303666830062866,1.3097752332687378,785
matched839,1,val,0.4937,0.48546314239501953,0.4936791870436379,1.5962960720062256,1.2263847589492798,478
matched839,1,full,0.4937,0.47227925062179565,0.4649381985794359,1.603464961051941,1.292472004890442,835
matched839,1,cl1,0.4937,0.46732547879219055,0.45877984034113045,1.5997098684310913,1.286637306213379,785
matched839,2,val,0.5049,0.48866698145866394,0.5049200214326954,1.683688759803772,1.3510987758636475,478
matched839,2,full,0.5049,0.5519195795059204,0.5350163926031565,1.5528104305267334,1.278408408164978,835
matched839,2,cl1,0.5049,0.5417178869247437,0.5254024168747069,1.5460479259490967,1.272261142730713,785
